Genes	Transcript_Length	GC_Content
11462	ENSG00000008018	1939	39.81
11107	ENSG00000008056	3299	47.81
18208	ENSG00000008083	5755	43.92
22496	ENSG00000008086	12533	40.21
3662	ENSG00000008118	2612	47.01
20581	ENSG00000008128	2653	51.99
14751	ENSG00000008130	3653	53.7
23805	ENSG00000008226	6426	48.5
24103	ENSG00000008256	4508	44.78
14562	ENSG00000008277	9334	37.29
21085	ENSG00000008282	2151	38.18
379	ENSG00000008283	3200	57.41
3347	ENSG00000008294	8273	40
1491	ENSG00000008300	11956	59.89
7754	ENSG00000008311	3233	36.48
11701	ENSG00000008323	3111	55.71
6079	ENSG00000008324	1047	47.77
14154	ENSG00000008382	1611	55.95
22632	ENSG00000008394	2152	36.94
15801	ENSG00000008405	3834	37.62
20957	ENSG00000008438	720	57.73
25214	ENSG00000008441	5459	55.28
8639	ENSG00000008513	6951	49.4
8895	ENSG00000008516	3554	58.2
14569	ENSG00000008517	1381	53.36
24718	ENSG00000008710	14138	63.1
10848	ENSG00000008735	5596	63.07
324	ENSG00000008838	3896	50.63
291	ENSG00000008853	5451	53.51
18897	ENSG00000008869	6905	38.59
3782	ENSG00000008952	6568	36.6
21314	ENSG00000008988	1826	41.97
983	ENSG00000009307	4312	38.28
5833	ENSG00000009335	5229	42.12
9777	ENSG00000009413	10964	36.9
8678	ENSG00000009694	12891	37.17
25444	ENSG00000009709	5538	52.35
13375	ENSG00000009724	2439	50.21
6244	ENSG00000009765	8742	41.6
3430	ENSG00000009780	3567	43.35
6171	ENSG00000009790	3302	45.61
4237	ENSG00000009830	5647	47.08
2941	ENSG00000009844	7028	35.53
10902	ENSG00000009950	3278	56.25
13574	ENSG00000009954	6102	43.19
17648	ENSG00000010017	3113	36.94
23062	ENSG00000010030	1776	49.34
9386	ENSG00000010072	3559	41.57
5306	ENSG00000010165	3327	43.61
16596	ENSG00000010219	3272	42.77
14612	ENSG00000010244	13781	38.47
23001	ENSG00000010256	1985	53.04
12281	ENSG00000010270	3653	38.4
16802	ENSG00000010278	1744	51.04
8169	ENSG00000010282	1865	56.48
4284	ENSG00000010292	5548	46.34
21970	ENSG00000010295	3101	54.32
9473	ENSG00000010310	3289	54.94
24885	ENSG00000010318	2130	45.18
18186	ENSG00000010319	4899	59.63
12977	ENSG00000010322	5350	53.28
5635	ENSG00000010327	7928	60.65
24636	ENSG00000010361	1675	52.29
4909	ENSG00000010379	2185	47.19
22237	ENSG00000010404	7619	45.34
23500	ENSG00000010438	1144	42.84
22567	ENSG00000010539	4308	43.67
18762	ENSG00000010610	3114	48.55
18104	ENSG00000010626	1628	47.35
12822	ENSG00000010671	2767	43.18
20875	ENSG00000010704	5286	44.85
7436	ENSG00000010803	3323	39.5
7123	ENSG00000010810	3628	42.42
219	ENSG00000010818	10032	38.72
172	ENSG00000011007	5154	45.7
16940	ENSG00000011009	1810	62.39
7501	ENSG00000011021	5631	47.79
3174	ENSG00000011028	5988	52.24
5102	ENSG00000011052	1193	48.86
12649	ENSG00000011083	3739	54.69
5832	ENSG00000011105	4323	52.13
11852	ENSG00000011114	8430	40.08
24128	ENSG00000011132	4250	56.64
22132	ENSG00000011143	2397	47.46
25610	ENSG00000011198	5366	40.26
16766	ENSG00000011201	6314	39.59
20931	ENSG00000011243	2749	48.86
6577	ENSG00000011258	5382	39.5
22771	ENSG00000011260	1894	40.38
2431	ENSG00000011275	5639	45.52
23493	ENSG00000011295	3075	41.07
18328	ENSG00000011304	4661	61.17
605	ENSG00000011332	2356	57.15
14578	ENSG00000011347	4854	57.15
16421	ENSG00000011376	4744	42.15
3304	ENSG00000011405	8227	39.84
24228	ENSG00000011422	1610	49.94
21442	ENSG00000011426	4787	37.88
14956	ENSG00000011451	6299	58.16
12420	ENSG00000011454	4997	38.49
400	ENSG00000011478	2310	52.56
23616	ENSG00000011485	4675	50.75
16311	ENSG00000011523	5847	47.81
2482	ENSG00000011566	4362	36.9
24823	ENSG00000011590	2068	52.49
22635	ENSG00000011600	620	51.45
22862	ENSG00000011638	2014	43.7
23842	ENSG00000011677	3712	37.36
1666	ENSG00000012048	7270	44.09
6425	ENSG00000012061	3828	52.1
16127	ENSG00000012124	3268	50.25
5415	ENSG00000012171	3283	60.71
23740	ENSG00000012174	4457	38.49
13338	ENSG00000012211	2246	56.05
15881	ENSG00000012223	2979	46.95
21329	ENSG00000012232	8257	44.36
6670	ENSG00000012504	2884	39.74
13873	ENSG00000012660	3081	41.88
22280	ENSG00000012779	2506	47.73
3849	ENSG00000012817	5579	38.66
7354	ENSG00000012822	5866	49.2
12731	ENSG00000012963	3694	43.29
20564	ENSG00000012983	4812	37.27
17265	ENSG00000013016	4636	50.13
24493	ENSG00000013275	1623	50.25
25349	ENSG00000013288	7719	54.58
5232	ENSG00000013293	10103	42.15
13428	ENSG00000013297	2169	43.14
15604	ENSG00000013306	2217	61.11
3072	ENSG00000013364	2925	52.54
3769	ENSG00000013374	3210	44.96
17080	ENSG00000013375	6107	38.66
11439	ENSG00000013392	3744	44.76
6207	ENSG00000013441	3208	41.85
154	ENSG00000013503	4273	39.75
12796	ENSG00000013523	5176	44.52
15172	ENSG00000013561	4235	42.04
5590	ENSG00000013563	3008	54.47
12804	ENSG00000013573	4182	52.28
11655	ENSG00000013583	2056	43.52
10141	ENSG00000013588	7362	46.77
5616	ENSG00000013619	4854	44.08
17944	ENSG00000013725	3252	49.93
23567	ENSG00000013810	2781	56.07
14510	ENSG00000014123	4224	33.38
6377	ENSG00000014138	3744	47.9
24576	ENSG00000014164	3280	58.38
15866	ENSG00000014216	3086	51.18
6706	ENSG00000014257	3125	40.4
22055	ENSG00000014641	1650	38.05
11484	ENSG00000014824	6218	36.98
1974	ENSG00000014914	3332	49.97
22886	ENSG00000014919	2788	42.42
19927	ENSG00000015133	7474	51.25
15842	ENSG00000015153	5095	39.02
19553	ENSG00000015171	4229	37.8
7009	ENSG00000015285	1849	50.82
18156	ENSG00000015413	1772	59.08
22832	ENSG00000015475	2495	52.51
24526	ENSG00000015479	7306	38.8
15266	ENSG00000015520	5048	51.5
12626	ENSG00000015532	3507	56.54
13958	ENSG00000015568	7253	39.34
19735	ENSG00000015592	2288	48.03
14793	ENSG00000015676	8256	44.52
19933	ENSG00000016082	2459	44.32
3189	ENSG00000016391	7665	49.32
5267	ENSG00000016402	3522	41.2
8240	ENSG00000016490	3310	40.09
4456	ENSG00000016602	3211	37.99
15891	ENSG00000016864	1889	44.49
1359	ENSG00000017260	5067	37.56
8853	ENSG00000017427	7359	39.7
10946	ENSG00000017483	2659	54.89
15560	ENSG00000017797	4368	41.38
15572	ENSG00000018189	4233	39.91
15067	ENSG00000018280	5772	55.34
4041	ENSG00000018408	5030	41.07
11094	ENSG00000018510	7764	36.51
11958	ENSG00000018610	2372	44.29
1542	ENSG00000018625	5421	50.38
3185	ENSG00000018699	2876	39.46
6850	ENSG00000018869	2824	40.84
19006	ENSG00000019102	1191	53.7
8669	ENSG00000019144	5945	54.3
536	ENSG00000019169	1838	44.33
25677	ENSG00000019186	3262	43.36
10668	ENSG00000019485	10730	47.84
9411	ENSG00000019505	5144	46.27
24051	ENSG00000019549	2428	40.58
10523	ENSG00000019582	1727	53.3
1576	ENSG00000019991	5987	34.42
8475	ENSG00000019995	5695	39.68
2616	ENSG00000020129	3683	57.71
16237	ENSG00000020181	6270	55.25
23209	ENSG00000020256	3264	44.05
19508	ENSG00000020426	2635	36.62
24912	ENSG00000020577	6833	43.1
12968	ENSG00000020633	4340	54.8
19719	ENSG00000020922	6897	37.31
23175	ENSG00000021300	2380	52.94
25067	ENSG00000021355	2619	43.16
7913	ENSG00000021461	1848	40.68
25204	ENSG00000021488	1998	46.62
16232	ENSG00000021574	5277	40
4524	ENSG00000021645	8504	39.46
24112	ENSG00000021762	3889	57
18181	ENSG00000021776	9694	37.54
2606	ENSG00000021826	5821	36.31
2194	ENSG00000021852	2382	42.82
18657	ENSG00000022267	2878	42.07
20321	ENSG00000022277	2212	43.71
2091	ENSG00000022556	3744	49.09
24264	ENSG00000022567	7483	52.64
8013	ENSG00000022840	3825	45.25
3369	ENSG00000022976	2987	49.04
8979	ENSG00000023041	2906	38.61
13534	ENSG00000023171	7723	45.8
19659	ENSG00000023191	3281	60.36
19453	ENSG00000023228	11819	40.81
19187	ENSG00000023287	6635	37.73
1464	ENSG00000023318	4854	37.86
22117	ENSG00000023330	2430	45.47
5337	ENSG00000023445	5197	37.6
14628	ENSG00000023516	9920	36.45
13814	ENSG00000023572	5612	39.59
15161	ENSG00000023608	2656	39.61
15043	ENSG00000023697	1705	39.16
14724	ENSG00000023734	1866	36.48
16491	ENSG00000023839	5312	45.12
19784	ENSG00000023892	2262	48.45
5089	ENSG00000023902	3741	51.63
1274	ENSG00000023909	4857	36.37
22637	ENSG00000024048	7857	39.1
6336	ENSG00000024422	3585	52.96
9630	ENSG00000024526	5331	34.94
9079	ENSG00000024862	1505	39.18
19951	ENSG00000025039	4900	42.25
16253	ENSG00000025156	2643	35.55
1539	ENSG00000025293	5922	44.08
7637	ENSG00000025423	1751	44.92
11179	ENSG00000025434	2731	50.87
9679	ENSG00000025708	2049	64.53
5317	ENSG00000025770	2077	55.08
3446	ENSG00000025772	2062	45.11
15808	ENSG00000025796	6411	39.82
14070	ENSG00000025800	7378	44.21
17438	ENSG00000026025	2666	46.25
22053	ENSG00000026036	5843	59.83
14391	ENSG00000026103	2563	37.84
22840	ENSG00000026297	2445	48.7
16674	ENSG00000026508	5732	41.56
15210	ENSG00000026559	3722	52.21
333	ENSG00000026652	7865	45.36
10062	ENSG00000026751	3542	43.99
24347	ENSG00000026950	3442	44.45
15149	ENSG00000027001	2400	39.76
14017	ENSG00000027075	3582	42.48
17810	ENSG00000027644	5101	55.51
12722	ENSG00000027697	2519	38.81
7819	ENSG00000027847	2653	57.92
18412	ENSG00000027869	1673	55.56
6327	ENSG00000028116	2446	35.24
3293	ENSG00000028137	3683	55.39
5940	ENSG00000028203	4562	38.6
11949	ENSG00000028277	6901	51.31
23250	ENSG00000028310	4865	55.14
24839	ENSG00000028528	8119	43.68
1535	ENSG00000028839	4228	37.6
22050	ENSG00000029153	6785	39.26
5531	ENSG00000029363	7719	35.59
22885	ENSG00000029364	5192	40.2
19281	ENSG00000029534	8478	49.32
9349	ENSG00000029559	1546	36.11
23310	ENSG00000029639	1424	38.35
3689	ENSG00000029725	5365	41.37
19058	ENSG00000029993	3560	51.16
23456	ENSG00000030066	5376	41.86
9066	ENSG00000030110	2212	57.18
20450	ENSG00000030419	9350	34.84
8696	ENSG00000030582	2342	57.64
20210	ENSG00000031003	5465	40.05
9762	ENSG00000031081	9317	43.44
3048	ENSG00000031691	1733	37.99
13453	ENSG00000031698	1882	43.12
22858	ENSG00000031823	3233	52.74
24371	ENSG00000032219	5891	37.48
17890	ENSG00000032389	2932	48.27
18672	ENSG00000032444	4617	55.88
24070	ENSG00000032742	3091	38.74
19922	ENSG00000033011	2671	49.28
6839	ENSG00000033030	5663	42.68
6907	ENSG00000033050	3546	48.51
13718	ENSG00000033100	3978	56.82
3790	ENSG00000033122	6507	35.35
18896	ENSG00000033170	5166	37.41
16079	ENSG00000033178	9564	35.52
7430	ENSG00000033327	6092	41.71
2068	ENSG00000033627	4652	45.47
746	ENSG00000033800	8115	38.09
7007	ENSG00000033867	7970	36.85
18626	ENSG00000034053	4031	48.63
14585	ENSG00000034152	2401	56.97
24114	ENSG00000034239	2286	40.09
17041	ENSG00000034510	496	63.37
10696	ENSG00000034533	2669	39.7
5555	ENSG00000034677	4330	38.61
18773	ENSG00000034693	1969	35.11
11779	ENSG00000034713	2274	47.18
7186	ENSG00000034971	2095	45.71
18826	ENSG00000035115	3540	40.78
19824	ENSG00000035141	2398	48.46
9937	ENSG00000035403	7995	41.45
14814	ENSG00000035499	2499	38.63
11205	ENSG00000035664	8086	46.89
17122	ENSG00000035681	3569	38.41
8540	ENSG00000035687	2780	38.3
16093	ENSG00000035720	1511	37.8
11196	ENSG00000035862	3652	52.6
25142	ENSG00000035928	4886	39.26
1025	ENSG00000036054	4054	36.46
19348	ENSG00000036257	6741	37.23
11159	ENSG00000036448	5014	46.64
694	ENSG00000036530	6609	47.28
10535	ENSG00000036549	4737	37.17
14538	ENSG00000036565	2956	44
22876	ENSG00000036672	3732	54.64
10423	ENSG00000036828	10047	41.14
25654	ENSG00000037042	1776	51.9
12471	ENSG00000037241	742	46.12
2640	ENSG00000037280	5857	60.24
19847	ENSG00000037474	3558	43.29
4853	ENSG00000037637	6202	43.85
4144	ENSG00000037749	2891	43.54
8454	ENSG00000037757	3027	52.16
6265	ENSG00000037897	2066	54.22
12708	ENSG00000037965	1889	52.78
1279	ENSG00000038002	2107	39.89
23948	ENSG00000038210	3540	41.82
22001	ENSG00000038219	10565	38.88
20020	ENSG00000038274	3409	38.25
10375	ENSG00000038295	6708	35.72
21250	ENSG00000038358	5267	57.32
19288	ENSG00000038382	11100	43.35
19260	ENSG00000038427	12625	37.22
14826	ENSG00000038532	6891	48.06
5595	ENSG00000038945	3572	35.52
21562	ENSG00000039068	4889	46.89
23623	ENSG00000039123	4192	36.85
22952	ENSG00000039139	15633	38.97
9334	ENSG00000039319	6773	37.65
25749	ENSG00000039523	4260	57.05
23172	ENSG00000039560	5092	42.13
14680	ENSG00000039600	3265	40.71
13730	ENSG00000039650	2111	59.53
19110	ENSG00000039987	2183	57.95
641	ENSG00000040199	8467	41.82
25928	ENSG00000040275	2668	37.28
10181	ENSG00000040341	4061	38.25
6288	ENSG00000040487	2153	54.93
18906	ENSG00000040531	2866	54.27
2412	ENSG00000040608	2157	60.45
1637	ENSG00000040633	2037	59.51
17592	ENSG00000040731	3438	34
24506	ENSG00000040933	9996	47.33
13591	ENSG00000041353	7281	37.74
9444	ENSG00000041357	4411	42.32
5108	ENSG00000041515	7436	38.48
7461	ENSG00000041802	3572	41.69
6419	ENSG00000041880	2472	59.21
17429	ENSG00000041982	7641	41.85
13823	ENSG00000041988	2053	56.77
20224	ENSG00000042062	4377	51.6
13813	ENSG00000042088	3702	42.14
6845	ENSG00000042286	3247	50.25
24331	ENSG00000042304	2086	42.06
2011	ENSG00000042317	3610	37.9
14876	ENSG00000042429	5142	39.79
8614	ENSG00000042445	3100	51.7
4189	ENSG00000042493	1442	51.32
16757	ENSG00000042753	935	52.87
15953	ENSG00000042781	18883	36.36
12616	ENSG00000042813	1213	36.38
24393	ENSG00000042832	8450	45.9
20828	ENSG00000042980	7052	35.71
15316	ENSG00000043039	2148	42.73
10345	ENSG00000043093	7954	39.56
14971	ENSG00000043143	6465	53.79
23223	ENSG00000043355	2983	56.6
12026	ENSG00000043462	4678	44.64
8920	ENSG00000043514	2112	42.46
22658	ENSG00000043591	2853	57.45
24025	ENSG00000044090	5504	54.7
23481	ENSG00000044115	3831	44.15
15024	ENSG00000044446	5559	45.75
20169	ENSG00000044459	5576	36.43
4022	ENSG00000044524	5809	34.6
14570	ENSG00000044574	3908	43.98
15291	ENSG00000046604	5831	39.27
19328	ENSG00000046647	1682	40.79
25021	ENSG00000046651	4259	39.8
18803	ENSG00000046653	3957	41.5
6307	ENSG00000046889	10750	37.16
21606	ENSG00000047056	4582	45.5
17682	ENSG00000047188	6708	34.67
25080	ENSG00000047230	4319	43.51
20368	ENSG00000047249	2365	39.2
7471	ENSG00000047315	4108	40.19
6105	ENSG00000047346	4590	37.21
10248	ENSG00000047365	7514	35.53
17489	ENSG00000047410	9708	34.16
2032	ENSG00000047457	4676	37.35
18427	ENSG00000047578	6616	47.84
7820	ENSG00000047579	1880	39.93
20008	ENSG00000047597	5209	39.54
25090	ENSG00000047617	3720	44.4
19779	ENSG00000047621	3826	36.55
19577	ENSG00000047634	4615	38.89
5619	ENSG00000047644	6647	46.21
20589	ENSG00000047648	6299	39.11
14494	ENSG00000047662	6622	44.05
18481	ENSG00000047849	8920	43.43
15118	ENSG00000047932	4590	36.66
15032	ENSG00000047936	7435	37.24
15898	ENSG00000048028	4669	41.45
19749	ENSG00000048052	9705	36.13
22109	ENSG00000048140	4445	58.7
15972	ENSG00000048162	1258	49.33
17586	ENSG00000048342	5249	40.21
18745	ENSG00000048392	4931	37.99
12989	ENSG00000048405	4358	37.8
21301	ENSG00000048462	994	40.48
16351	ENSG00000048471	8171	47.13
15235	ENSG00000048544	2110	41.04
15058	ENSG00000048545	2233	51.23
6933	ENSG00000048649	11550	39.04
1086	ENSG00000048707	16355	42.34
11139	ENSG00000048740	8044	41.91
2600	ENSG00000048828	5118	42.4
10981	ENSG00000048991	4648	37.98
3764	ENSG00000049089	2887	57.42
4052	ENSG00000049130	5737	36.84
11229	ENSG00000049167	3424	37.16
24052	ENSG00000049192	7311	35.91
2144	ENSG00000049239	9146	52.29
2614	ENSG00000049245	2205	42.77
10250	ENSG00000049246	6318	40.53
17845	ENSG00000049247	1601	40.81
11970	ENSG00000049249	5970	43.95
2833	ENSG00000049283	4071	58.71
1056	ENSG00000049323	6333	40.25
21706	ENSG00000049449	2653	46.98
16678	ENSG00000049540	3967	54.95
17654	ENSG00000049541	1695	48.96
10074	ENSG00000049618	10194	40.87
21944	ENSG00000049656	3540	56.17
3697	ENSG00000049759	8436	43.36
2517	ENSG00000049768	2448	53.51
15720	ENSG00000049769	3421	47.85
17730	ENSG00000049860	2021	42.11
7725	ENSG00000049883	11151	40.38
12437	ENSG00000050030	11712	39.49
17870	ENSG00000050130	2524	36.78
10192	ENSG00000050165	2650	49.18
15774	ENSG00000050327	5544	48.06
4430	ENSG00000050344	3686	44.64
21881	ENSG00000050393	5471	41.24
6169	ENSG00000050405	3920	42.32
12713	ENSG00000050426	2948	45.34
2973	ENSG00000050438	11824	42.72
16654	ENSG00000050555	6133	53.69
9602	ENSG00000050628	6982	38.05
6161	ENSG00000050730	2416	37.14
16384	ENSG00000050748	4815	43.58
9415	ENSG00000050767	3061	50.62
13100	ENSG00000050820	4659	59.7
14170	ENSG00000051009	3481	44.55
20546	ENSG00000051108	2946	43.16
19854	ENSG00000051128	1979	56.77
15381	ENSG00000051180	2449	43.47
6870	ENSG00000051341	9055	39.06
6137	ENSG00000051382	5919	40.59
13996	ENSG00000051523	1415	61.89
18436	ENSG00000051596	1796	43.01
12766	ENSG00000051620	10014	47.12
3675	ENSG00000051825	6351	42.99
25827	ENSG00000052126	6487	38.09
17432	ENSG00000052344	1872	59.05
1801	ENSG00000052723	5506	36.9
9794	ENSG00000052749	4476	50.49
5816	ENSG00000052795	6925	40.56
3003	ENSG00000052802	2269	37.1
17473	ENSG00000052841	4469	37.89
8512	ENSG00000052850	5750	52.84
17877	ENSG00000053108	5419	46.69
13577	ENSG00000053254	7832	44.31
4266	ENSG00000053371	1362	52.87
8619	ENSG00000053372	2315	53.49
17940	ENSG00000053438	1297	54.05
23585	ENSG00000053501	1776	55.26
8209	ENSG00000053524	7813	42.39
19536	ENSG00000053702	2746	51.39
22741	ENSG00000053747	10661	42.46
2005	ENSG00000053770	11737	35.17
20189	ENSG00000053900	3807	37.97
20513	ENSG00000053918	3246	51.55
13128	ENSG00000054116	2428	49.8
11824	ENSG00000054118	4432	43.72
14987	ENSG00000054148	1316	66.23
12285	ENSG00000054179	2095	65.74
9570	ENSG00000054219	6886	37.97
3308	ENSG00000054267	5946	39.95
9299	ENSG00000054277	2620	39.62
8430	ENSG00000054282	2567	39.81
21950	ENSG00000054356	5099	53.59
5123	ENSG00000054392	3626	42.26
1596	ENSG00000054523	10669	41.99
23284	ENSG00000054598	3926	56.32
3579	ENSG00000054611	3934	49.42
25559	ENSG00000054654	21842	40.76
25196	ENSG00000054690	6604	48.02
24881	ENSG00000054793	8106	46.69
12056	ENSG00000054803	3024	44.01
25079	ENSG00000054938	1971	51.57
25338	ENSG00000054965	7296	41.55
25098	ENSG00000054967	4346	59.84
233	ENSG00000054983	3883	39.12
2519	ENSG00000055044	2046	41.15
1178	ENSG00000055070	3636	48.1
9818	ENSG00000055118	4286	59.57
14500	ENSG00000055130	3064	41.22
4127	ENSG00000055147	4443	37.35
19211	ENSG00000055163	6370	44.29
10041	ENSG00000055208	4553	38.87
14099	ENSG00000055211	2024	42.05
20140	ENSG00000055332	10042	41.14
22120	ENSG00000055483	6063	50.03
1090	ENSG00000055609	16862	38.65
4104	ENSG00000055732	2953	40.77
20741	ENSG00000055917	6251	37.42
19083	ENSG00000055950	2134	53.18
11342	ENSG00000055955	3336	55.65
1432	ENSG00000055957	2911	54.92
1002	ENSG00000056050	1230	38.6
22675	ENSG00000056097	4738	38.33
4486	ENSG00000056277	4634	38.03
