Genes	Transcript_Length	GC_Content
15485	ENSG00000005156	8400	47.23
300	ENSG00000005175	4370	36.57
13155	ENSG00000005187	3311	41.08
13233	ENSG00000005189	2722	39.89
6508	ENSG00000005194	2182	44.41
7442	ENSG00000005206	3456	61.06
3298	ENSG00000005238	5771	54.68
11328	ENSG00000005243	895	52.71
10312	ENSG00000005249	3745	38.63
16615	ENSG00000005302	3446	42.85
8452	ENSG00000005339	10803	45.01
11372	ENSG00000005379	7483	57.84
10315	ENSG00000005381	3215	55.13
4251	ENSG00000005436	4440	36.39
9571	ENSG00000005448	2356	54.68
13339	ENSG00000005469	3175	37.43
14013	ENSG00000005471	4020	38.6
797	ENSG00000005483	6874	37.46
8200	ENSG00000005486	1878	47.79
15045	ENSG00000005513	4153	64.81
6897	ENSG00000005700	6054	36.07
11898	ENSG00000005801	3342	41.43
8584	ENSG00000005810	14736	35.72
8578	ENSG00000005812	3503	38.36
12737	ENSG00000005844	5213	50.46
4652	ENSG00000005882	3440	56.67
9617	ENSG00000005884	5479	52.64
15328	ENSG00000005889	7558	40.77
11644	ENSG00000005893	4030	38.79
4590	ENSG00000005961	3333	54.83
9651	ENSG00000006007	2958	40.17
15220	ENSG00000006015	2465	60.24
3763	ENSG00000006025	4497	57.86
17119	ENSG00000006062	4583	49.97
17635	ENSG00000006118	3981	58.71
8554	ENSG00000006125	5702	39.93
12839	ENSG00000006194	3830	47.09
2980	ENSG00000006282	3539	57.05
4360	ENSG00000006327	1678	60.12
15585	ENSG00000006432	11169	44.98
8530	ENSG00000006451	2880	39.69
13931	ENSG00000006453	3622	46.77
4356	ENSG00000006459	9272	39.18
5509	ENSG00000006468	6740	36.3
6494	ENSG00000006530	3849	39.59
3194	ENSG00000006534	5884	58.4
776	ENSG00000006555	3345	52.26
17883	ENSG00000006576	5198	37.65
18016	ENSG00000006606	703	48.09
389	ENSG00000006607	6065	45.6
4807	ENSG00000006625	1173	40.55
10298	ENSG00000006634	3907	36.72
17456	ENSG00000006638	2608	55.77
7151	ENSG00000006652	3397	39.45
10500	ENSG00000006695	2873	38.47
5240	ENSG00000006704	5868	52.72
4005	ENSG00000006712	2066	52.73
18077	ENSG00000006715	5903	38.35
12727	ENSG00000006740	4428	42.68
12226	ENSG00000006744	3738	48.08
5693	ENSG00000006747	9713	38.46
15001	ENSG00000006756	5159	48.88
15253	ENSG00000006757	3372	40.45
16827	ENSG00000006831	4018	39.4
13607	ENSG00000006837	2160	40.16
7034	ENSG00000007038	1106	55.65
9204	ENSG00000007047	5209	53.57
14164	ENSG00000007062	4349	43.17
7039	ENSG00000007080	1055	55.84
16313	ENSG00000007129	1691	44.66
9613	ENSG00000007168	5497	42.4
17223	ENSG00000007174	13750	42.63
15075	ENSG00000007202	7407	46.75
1846	ENSG00000007237	8033	47.97
5042	ENSG00000007255	805	56.86
13188	ENSG00000007264	2133	54.4
14935	ENSG00000007312	1269	60.69
18138	ENSG00000007314	7805	56.1
2208	ENSG00000007341	4528	39.05
11823	ENSG00000007350	2642	48.34
15298	ENSG00000007372	7290	49.72
11401	ENSG00000007376	2159	67.17
13464	ENSG00000007392	2737	47.33
17943	ENSG00000007402	5476	56.52
14889	ENSG00000007516	4732	65.72
11257	ENSG00000007520	1243	62.57
14632	ENSG00000007541	3006	64.36
13832	ENSG00000007545	7772	53.11
14208	ENSG00000007866	2983	56.75
12397	ENSG00000007923	3311	46.6
4303	ENSG00000007933	2087	36.5
9844	ENSG00000007944	2796	40.19
2952	ENSG00000007968	5191	51.66
7746	ENSG00000008018	1939	39.81
7489	ENSG00000008056	3299	47.81
12623	ENSG00000008083	5755	43.92
15698	ENSG00000008086	12533	40.21
14330	ENSG00000008128	2653	51.99
10124	ENSG00000008130	3653	53.7
16632	ENSG00000008226	6426	48.5
16845	ENSG00000008256	4508	44.78
9989	ENSG00000008277	9334	37.29
14703	ENSG00000008282	2151	38.18
218	ENSG00000008283	3200	57.41
2279	ENSG00000008294	8273	40
997	ENSG00000008300	11956	59.89
5142	ENSG00000008311	3233	36.48
7918	ENSG00000008323	3111	55.71
4013	ENSG00000008324	1047	47.77
9695	ENSG00000008382	1611	55.95
15788	ENSG00000008394	2152	36.94
10850	ENSG00000008405	3834	37.62
14602	ENSG00000008438	720	57.73
17676	ENSG00000008441	5459	55.28
5709	ENSG00000008513	6951	49.4
5878	ENSG00000008516	3554	58.2
9994	ENSG00000008517	1381	53.36
17313	ENSG00000008710	14138	63.1
7297	ENSG00000008735	5596	63.07
176	ENSG00000008838	3896	50.63
150	ENSG00000008853	5451	53.51
13129	ENSG00000008869	6905	38.59
2578	ENSG00000008952	6568	36.6
14855	ENSG00000008988	1826	41.97
655	ENSG00000009307	4312	38.28
3874	ENSG00000009335	5229	42.12
6532	ENSG00000009413	10964	36.9
5732	ENSG00000009694	12891	37.17
9119	ENSG00000009724	2439	50.21
2344	ENSG00000009780	3567	43.35
4076	ENSG00000009790	3302	45.61
2886	ENSG00000009830	5647	47.08
1981	ENSG00000009844	7028	35.53
7338	ENSG00000009950	3278	56.25
9274	ENSG00000009954	6102	43.19
12195	ENSG00000010017	3113	36.94
16098	ENSG00000010030	1776	49.34
6239	ENSG00000010072	3559	41.57
3563	ENSG00000010165	3327	43.61
11424	ENSG00000010219	3272	42.77
10024	ENSG00000010244	13781	38.47
16053	ENSG00000010256	1985	53.04
8343	ENSG00000010270	3653	38.4
11583	ENSG00000010278	1744	51.04
2921	ENSG00000010292	5548	46.34
15323	ENSG00000010295	3101	54.32
6305	ENSG00000010310	3289	54.94
17442	ENSG00000010318	2130	45.18
12608	ENSG00000010319	4899	59.63
8836	ENSG00000010322	5350	53.28
3757	ENSG00000010327	7928	60.65
17250	ENSG00000010361	1675	52.29
3313	ENSG00000010379	2185	47.19
15510	ENSG00000010404	7619	45.34
15741	ENSG00000010539	4308	43.67
13033	ENSG00000010610	3114	48.55
12545	ENSG00000010626	1628	47.35
8729	ENSG00000010671	2767	43.18
14544	ENSG00000010704	5286	44.85
4928	ENSG00000010803	3323	39.5
4735	ENSG00000010810	3628	42.42
92	ENSG00000010818	10032	38.72
3616	ENSG00000010932	3130	40.91
58	ENSG00000011007	5154	45.7
11686	ENSG00000011009	1810	62.39
4979	ENSG00000011021	5631	47.79
2149	ENSG00000011028	5988	52.24
3427	ENSG00000011052	1193	48.86
3873	ENSG00000011105	4323	52.13
8026	ENSG00000011114	8430	40.08
16865	ENSG00000011132	4250	56.64
15448	ENSG00000011143	2397	47.46
17979	ENSG00000011198	5366	40.26
11554	ENSG00000011201	6314	39.59
14583	ENSG00000011243	2749	48.86
4346	ENSG00000011258	5382	39.5
15881	ENSG00000011260	1894	40.38
1644	ENSG00000011275	5639	45.52
16423	ENSG00000011295	3075	41.07
12717	ENSG00000011304	4661	61.17
378	ENSG00000011332	2356	57.15
11302	ENSG00000011376	4744	42.15
2245	ENSG00000011405	8227	39.84
16942	ENSG00000011422	1610	49.94
14956	ENSG00000011426	4787	37.88
10275	ENSG00000011451	6299	58.16
8444	ENSG00000011454	4997	38.49
234	ENSG00000011478	2310	52.56
16508	ENSG00000011485	4675	50.75
11226	ENSG00000011523	5847	47.81
1686	ENSG00000011566	4362	36.9
17396	ENSG00000011590	2068	52.49
15791	ENSG00000011600	620	51.45
15952	ENSG00000011638	2014	43.7
1111	ENSG00000012048	7270	44.09
4250	ENSG00000012061	3828	52.1
11101	ENSG00000012124	3268	50.25
3606	ENSG00000012171	3283	60.71
16588	ENSG00000012174	4457	38.49
9091	ENSG00000012211	2246	56.05
10914	ENSG00000012223	2979	46.95
14868	ENSG00000012232	8257	44.36
9497	ENSG00000012660	3081	41.88
15544	ENSG00000012779	2506	47.73
2626	ENSG00000012817	5579	38.66
4869	ENSG00000012822	5866	49.2
8663	ENSG00000012963	3694	43.29
14318	ENSG00000012983	4812	37.27
11921	ENSG00000013016	4636	50.13
17142	ENSG00000013275	1623	50.25
17775	ENSG00000013288	7719	54.58
9154	ENSG00000013297	2169	43.14
10708	ENSG00000013306	2217	61.11
2077	ENSG00000013364	2925	52.54
2568	ENSG00000013374	3210	44.96
11786	ENSG00000013375	6107	38.66
7729	ENSG00000013392	3744	44.76
4103	ENSG00000013441	3208	41.85
46	ENSG00000013503	4273	39.75
8705	ENSG00000013523	5176	44.52
10426	ENSG00000013561	4235	42.04
3717	ENSG00000013563	3008	54.47
8713	ENSG00000013573	4182	52.28
7880	ENSG00000013583	2056	43.52
6801	ENSG00000013588	7362	46.77
3738	ENSG00000013619	4854	44.08
12420	ENSG00000013725	3252	49.93
16470	ENSG00000013810	2781	56.07
9953	ENSG00000014123	4224	33.38
4214	ENSG00000014138	3744	47.9
17202	ENSG00000014164	3280	58.38
10900	ENSG00000014216	3086	51.18
4447	ENSG00000014257	3125	40.4
15393	ENSG00000014641	1650	38.05
7761	ENSG00000014824	6218	36.98
1328	ENSG00000014914	3332	49.97
15970	ENSG00000014919	2788	42.42
13847	ENSG00000015133	7474	51.25
10881	ENSG00000015153	5095	39.02
13590	ENSG00000015171	4229	37.8
4660	ENSG00000015285	1849	50.82
15926	ENSG00000015475	2495	52.51
17165	ENSG00000015479	7306	38.8
8588	ENSG00000015532	3507	56.54
9559	ENSG00000015568	7253	39.34
10155	ENSG00000015676	8256	44.52
10922	ENSG00000016864	1889	44.49
905	ENSG00000017260	5067	37.56
5845	ENSG00000017427	7359	39.7
7369	ENSG00000017483	2659	54.89
10680	ENSG00000017797	4368	41.38
10688	ENSG00000018189	4233	39.91
10352	ENSG00000018280	5772	55.34
2749	ENSG00000018408	5030	41.07
7479	ENSG00000018510	7764	36.51
8112	ENSG00000018610	2372	44.29
1031	ENSG00000018625	5421	50.38
2156	ENSG00000018699	2876	39.46
4542	ENSG00000018869	2824	40.84
13204	ENSG00000019102	1191	53.7
5727	ENSG00000019144	5945	54.3
333	ENSG00000019169	1838	44.33
7157	ENSG00000019485	10730	47.84
7062	ENSG00000019582	1727	53.3
1051	ENSG00000019991	5987	34.42
5599	ENSG00000019995	5695	39.68
1781	ENSG00000020129	3683	57.71
11174	ENSG00000020181	6270	55.25
16211	ENSG00000020256	3264	44.05
13561	ENSG00000020426	2635	36.62
17463	ENSG00000020577	6833	43.1
8827	ENSG00000020633	4340	54.8
13703	ENSG00000020922	6897	37.31
16188	ENSG00000021300	2380	52.94
17575	ENSG00000021355	2619	43.16
11171	ENSG00000021574	5277	40
16852	ENSG00000021762	3889	57
12603	ENSG00000021776	9694	37.54
1772	ENSG00000021826	5821	36.31
12958	ENSG00000022267	2878	42.07
14128	ENSG00000022277	2212	43.71
1405	ENSG00000022556	3744	49.09
16965	ENSG00000022567	7483	52.64
5308	ENSG00000022840	3825	45.25
2297	ENSG00000022976	2987	49.04
5946	ENSG00000023041	2906	38.61
9239	ENSG00000023171	7723	45.8
13659	ENSG00000023191	3281	60.36
13523	ENSG00000023228	11819	40.81
13331	ENSG00000023287	6635	37.73
975	ENSG00000023318	4854	37.86
15438	ENSG00000023330	2430	45.47
3583	ENSG00000023445	5197	37.6
10039	ENSG00000023516	9920	36.45
9446	ENSG00000023572	5612	39.59
10418	ENSG00000023608	2656	39.61
10333	ENSG00000023697	1705	39.16
10108	ENSG00000023734	1866	36.48
11351	ENSG00000023839	5312	45.12
13749	ENSG00000023892	2262	48.45
3420	ENSG00000023902	3741	51.63
848	ENSG00000023909	4857	36.37
15793	ENSG00000024048	7857	39.1
6419	ENSG00000024526	5331	34.94
6028	ENSG00000024862	1505	39.18
13865	ENSG00000025039	4900	42.25
11184	ENSG00000025156	2643	35.55
1028	ENSG00000025293	5922	44.08
5072	ENSG00000025423	1751	44.92
7535	ENSG00000025434	2731	50.87
6456	ENSG00000025708	2049	64.53
3569	ENSG00000025770	2077	55.08
2354	ENSG00000025772	2062	45.11
10857	ENSG00000025796	6411	39.82
9636	ENSG00000025800	7378	44.21
12047	ENSG00000026025	2666	46.25
15391	ENSG00000026036	5843	59.83
9865	ENSG00000026103	2563	37.84
15933	ENSG00000026297	2445	48.7
11492	ENSG00000026508	5732	41.56
10459	ENSG00000026559	3722	52.21
182	ENSG00000026652	7865	45.36
6744	ENSG00000026751	3542	43.99
17029	ENSG00000026950	3442	44.45
10407	ENSG00000027001	2400	39.76
9601	ENSG00000027075	3582	42.48
8658	ENSG00000027697	2519	38.81
5189	ENSG00000027847	2653	57.92
12778	ENSG00000027869	1673	55.56
4183	ENSG00000028116	2446	35.24
2238	ENSG00000028137	3683	55.39
3952	ENSG00000028203	4562	38.6
8103	ENSG00000028277	6901	51.31
16242	ENSG00000028310	4865	55.14
17410	ENSG00000028528	8119	43.68
1026	ENSG00000028839	4228	37.6
15388	ENSG00000029153	6785	39.26
3681	ENSG00000029363	7719	35.59
15969	ENSG00000029364	5192	40.2
13400	ENSG00000029534	8478	49.32
16289	ENSG00000029639	1424	38.35
2504	ENSG00000029725	5365	41.37
13242	ENSG00000029993	3560	51.16
16397	ENSG00000030066	5376	41.86
6015	ENSG00000030110	2212	57.18
14230	ENSG00000030419	9350	34.84
5747	ENSG00000030582	2342	57.64
14044	ENSG00000031003	5465	40.05
6519	ENSG00000031081	9317	43.44
2059	ENSG00000031691	1733	37.99
9173	ENSG00000031698	1882	43.12
15948	ENSG00000031823	3233	52.74
17049	ENSG00000032219	5891	37.48
12382	ENSG00000032389	2932	48.27
12971	ENSG00000032444	4617	55.88
16818	ENSG00000032742	3091	38.74
13844	ENSG00000033011	2671	49.28
4535	ENSG00000033030	5663	42.68
4588	ENSG00000033050	3546	48.51
9378	ENSG00000033100	3978	56.82
2584	ENSG00000033122	6507	35.35
13128	ENSG00000033170	5166	37.41
11064	ENSG00000033178	9564	35.52
4923	ENSG00000033327	6092	41.71
1388	ENSG00000033627	4652	45.47
479	ENSG00000033800	8115	38.09
4658	ENSG00000033867	7970	36.85
12939	ENSG00000034053	4031	48.63
10003	ENSG00000034152	2401	56.97
11758	ENSG00000034510	496	63.37
7178	ENSG00000034533	2669	39.7
3696	ENSG00000034677	4330	38.61
13043	ENSG00000034693	1969	35.11
7971	ENSG00000034713	2274	47.18
13075	ENSG00000035115	3540	40.78
13781	ENSG00000035141	2398	48.46
6651	ENSG00000035403	7995	41.45
10167	ENSG00000035499	2499	38.63
7555	ENSG00000035664	8086	46.89
11814	ENSG00000035681	3569	38.41
5642	ENSG00000035687	2780	38.3
11073	ENSG00000035720	1511	37.8
7548	ENSG00000035862	3652	52.6
17627	ENSG00000035928	4886	39.26
690	ENSG00000036054	4054	36.46
13446	ENSG00000036257	6741	37.23
7523	ENSG00000036448	5014	46.64
7071	ENSG00000036549	4737	37.17
9971	ENSG00000036565	2956	44
15962	ENSG00000036672	3732	54.64
18013	ENSG00000037042	1776	51.9
8480	ENSG00000037241	742	46.12
1797	ENSG00000037280	5857	60.24
13798	ENSG00000037474	3558	43.29
3270	ENSG00000037637	6202	43.85
2823	ENSG00000037749	2891	43.54
5583	ENSG00000037757	3027	52.16
4142	ENSG00000037897	2066	54.22
852	ENSG00000038002	2107	39.89
16738	ENSG00000038210	3540	41.82
15348	ENSG00000038219	10565	38.88
13913	ENSG00000038274	3409	38.25
14812	ENSG00000038358	5267	57.32
13405	ENSG00000038382	11100	43.35
13387	ENSG00000038427	12625	37.22
10175	ENSG00000038532	6891	48.06
3721	ENSG00000038945	3572	35.52
15042	ENSG00000039068	4889	46.89
16513	ENSG00000039123	4192	36.85
6201	ENSG00000039319	6773	37.65
18083	ENSG00000039523	4260	57.05
16185	ENSG00000039560	5092	42.13
10073	ENSG00000039600	3265	40.71
9388	ENSG00000039650	2111	59.53
400	ENSG00000040199	8467	41.82
18199	ENSG00000040275	2668	37.28
6832	ENSG00000040341	4061	38.25
4160	ENSG00000040487	2153	54.93
13135	ENSG00000040531	2866	54.27
1092	ENSG00000040633	2037	59.51
17152	ENSG00000040933	9996	47.33
9285	ENSG00000041353	7281	37.74
6283	ENSG00000041357	4411	42.32
3431	ENSG00000041515	7436	38.48
4949	ENSG00000041802	3572	41.69
4245	ENSG00000041880	2472	59.21
12040	ENSG00000041982	7641	41.85
9452	ENSG00000041988	2053	56.77
9445	ENSG00000042088	3702	42.14
4540	ENSG00000042286	3247	50.25
1354	ENSG00000042317	3610	37.9
10205	ENSG00000042429	5142	39.79
5691	ENSG00000042445	3100	51.7
2855	ENSG00000042493	1442	51.32
11546	ENSG00000042753	935	52.87
17065	ENSG00000042832	8450	45.9
14507	ENSG00000042980	7052	35.71
6950	ENSG00000043093	7954	39.56
10284	ENSG00000043143	6465	53.79
8164	ENSG00000043462	4678	44.64
5902	ENSG00000043514	2112	42.46
15806	ENSG00000043591	2853	57.45
16781	ENSG00000044090	5504	54.7
16413	ENSG00000044115	3831	44.15
10321	ENSG00000044446	5559	45.75
14016	ENSG00000044459	5576	36.43
9995	ENSG00000044574	3908	43.98
10509	ENSG00000046604	5831	39.27
13430	ENSG00000046647	1682	40.79
17539	ENSG00000046651	4259	39.8
13064	ENSG00000046653	3957	41.5
4170	ENSG00000046889	10750	37.16
15071	ENSG00000047056	4582	45.5
12221	ENSG00000047188	6708	34.67
17587	ENSG00000047230	4319	43.51
14161	ENSG00000047249	2365	39.2
4958	ENSG00000047315	4108	40.19
4032	ENSG00000047346	4590	37.21
6879	ENSG00000047365	7514	35.53
12086	ENSG00000047410	9708	34.16
1366	ENSG00000047457	4676	37.35
12791	ENSG00000047578	6616	47.84
5190	ENSG00000047579	1880	39.93
13903	ENSG00000047597	5209	39.54
13745	ENSG00000047621	3826	36.55
13602	ENSG00000047634	4615	38.89
3740	ENSG00000047644	6647	46.21
14333	ENSG00000047648	6299	39.11
9940	ENSG00000047662	6622	44.05
12834	ENSG00000047849	8920	43.43
10385	ENSG00000047932	4590	36.66
10928	ENSG00000048028	4669	41.45
13721	ENSG00000048052	9705	36.13
15431	ENSG00000048140	4445	58.7
10982	ENSG00000048162	1258	49.33
12161	ENSG00000048342	5249	40.21
13022	ENSG00000048392	4931	37.99
8845	ENSG00000048405	4358	37.8
14844	ENSG00000048462	994	40.48
11250	ENSG00000048471	8171	47.13
10474	ENSG00000048544	2110	41.04
4606	ENSG00000048649	11550	39.04
744	ENSG00000048707	16355	42.34
7511	ENSG00000048740	8044	41.91
1768	ENSG00000048828	5118	42.4
7394	ENSG00000048991	4648	37.98
2565	ENSG00000049089	2887	57.42
2757	ENSG00000049130	5737	36.84
7570	ENSG00000049167	3424	37.16
16800	ENSG00000049192	7311	35.91
1447	ENSG00000049239	9146	52.29
1780	ENSG00000049245	2205	42.77
6881	ENSG00000049246	6318	40.53
12343	ENSG00000049247	1601	40.81
8121	ENSG00000049249	5970	43.95
720	ENSG00000049323	6333	40.25
15143	ENSG00000049449	2653	46.98
12200	ENSG00000049541	1695	48.96
6751	ENSG00000049618	10194	40.87
15306	ENSG00000049656	3540	56.17
2512	ENSG00000049759	8436	43.36
1709	ENSG00000049768	2448	53.51
10793	ENSG00000049769	3421	47.85
12260	ENSG00000049860	2021	42.11
5121	ENSG00000049883	11151	40.38
12365	ENSG00000050130	2524	36.78
6839	ENSG00000050165	2650	49.18
10829	ENSG00000050327	5544	48.06
3012	ENSG00000050344	3686	44.64
15264	ENSG00000050393	5471	41.24
4074	ENSG00000050405	3920	42.32
8651	ENSG00000050426	2948	45.34
2001	ENSG00000050438	11824	42.72
11473	ENSG00000050555	6133	53.69
6399	ENSG00000050628	6982	38.05
4070	ENSG00000050730	2416	37.14
11272	ENSG00000050748	4815	43.58
6259	ENSG00000050767	3061	50.62
9706	ENSG00000051009	3481	44.55
14305	ENSG00000051108	2946	43.16
13804	ENSG00000051128	1979	56.77
10568	ENSG00000051180	2449	43.47
4558	ENSG00000051341	9055	39.06
4053	ENSG00000051382	5919	40.59
9587	ENSG00000051523	1415	61.89
12799	ENSG00000051596	1796	43.01
8687	ENSG00000051620	10014	47.12
2496	ENSG00000051825	6351	42.99
18131	ENSG00000052126	6487	38.09
12043	ENSG00000052344	1872	59.05
1201	ENSG00000052723	5506	36.9
6546	ENSG00000052749	4476	50.49
3861	ENSG00000052795	6925	40.56
2022	ENSG00000052802	2269	37.1
12075	ENSG00000052841	4469	37.89
9276	ENSG00000053254	7832	44.31
17969	ENSG00000053328	1119	40.64
2907	ENSG00000053371	1362	52.87
5695	ENSG00000053372	2315	53.49
12416	ENSG00000053438	1297	54.05
16484	ENSG00000053501	1776	55.26
5413	ENSG00000053524	7813	42.39
13579	ENSG00000053702	2746	51.39
15861	ENSG00000053747	10661	42.46
1349	ENSG00000053770	11737	35.17
14030	ENSG00000053900	3807	37.97
14281	ENSG00000053918	3246	51.55
8943	ENSG00000054116	2428	49.8
8007	ENSG00000054118	4432	43.72
10296	ENSG00000054148	1316	66.23
8347	ENSG00000054179	2095	65.74
6377	ENSG00000054219	6886	37.97
2250	ENSG00000054267	5946	39.95
6175	ENSG00000054277	2620	39.62
5564	ENSG00000054282	2567	39.81
3438	ENSG00000054392	3626	42.26
1064	ENSG00000054523	10669	41.99
16268	ENSG00000054598	3926	56.32
2434	ENSG00000054611	3934	49.42
17940	ENSG00000054654	21842	40.76
17667	ENSG00000054690	6604	48.02
17439	ENSG00000054793	8106	46.69
17767	ENSG00000054965	7296	41.55
17595	ENSG00000054967	4346	59.84
102	ENSG00000054983	3883	39.12
1711	ENSG00000055044	2046	41.15
806	ENSG00000055070	3636	48.1
6565	ENSG00000055118	4286	59.57
9944	ENSG00000055130	3064	41.22
2812	ENSG00000055147	4443	37.35
13351	ENSG00000055163	6370	44.29
6725	ENSG00000055208	4553	38.87
9658	ENSG00000055211	2024	42.05
13996	ENSG00000055332	10042	41.14
15442	ENSG00000055483	6063	50.03
747	ENSG00000055609	16862	38.65
2794	ENSG00000055732	2953	40.77
14446	ENSG00000055917	6251	37.42
13257	ENSG00000055950	2134	53.18
7653	ENSG00000055955	3336	55.65
669	ENSG00000056050	1230	38.6
15818	ENSG00000056097	4738	38.33
3054	ENSG00000056277	4634	38.03
8562	ENSG00000056558	6324	49.95
16081	ENSG00000056586	9248	40.5
6213	ENSG00000056678	330	64.55
489	ENSG00000056736	2822	45.37
3167	ENSG00000056972	5128	44.45
6322	ENSG00000057019	6122	38.58
1700	ENSG00000057252	6861	39.63
4877	ENSG00000057294	4302	40.8
3445	ENSG00000057468	3266	37.01
16601	ENSG00000057608	2499	43.74
15072	ENSG00000057657	5164	41.29
15094	ENSG00000057663	3216	39.61
3471	ENSG00000057704	5877	43.11
12445	ENSG00000057757	1603	44.59
11588	ENSG00000057935	5832	43.08
2859	ENSG00000058056	8323	42.73
3444	ENSG00000058063	7325	36.02
12631	ENSG00000058091	5163	37.97
404	ENSG00000058262	3635	47.3
9147	ENSG00000058272	5721	36.07
11848	ENSG00000058335	6294	49.95
13636	ENSG00000058453	6656	49.14
10137	ENSG00000058600	4800	51.67
9356	ENSG00000058668	8968	46.5
6253	ENSG00000058673	11825	40.73
13150	ENSG00000058729	3922	36.71
2989	ENSG00000058799	1858	43.46
1356	ENSG00000058804	5134	40.26
11761	ENSG00000058866	6054	44.7
4100	ENSG00000059122	5037	52.33
12401	ENSG00000059145	5116	57.82
423	ENSG00000059377	2505	44.8
1365	ENSG00000059378	3796	45.81
5942	ENSG00000059573	3359	43.16
2847	ENSG00000059588	5130	40.27
3013	ENSG00000059691	6552	43.81
10152	ENSG00000059728	5587	40.74
536	ENSG00000059758	4157	37.82
16502	ENSG00000059769	2572	42.74
2900	ENSG00000059804	4414	44.63
17718	ENSG00000059915	4183	59.67
1994	ENSG00000060069	5866	53.52
15021	ENSG00000060138	6393	39.09
17126	ENSG00000060140	2995	39.44
15997	ENSG00000060237	11804	38.72
14370	ENSG00000060339	4683	41.75
17023	ENSG00000060491	4506	63.45
8879	ENSG00000060558	2133	52.55
5849	ENSG00000060642	2713	48.34
145	ENSG00000060688	1928	42.01
1422	ENSG00000060709	6321	48.94
1217	ENSG00000060749	9335	38.54
10395	ENSG00000060762	1192	38.93
16456	ENSG00000060971	4720	51.46
15609	ENSG00000060982	9674	40.06
368	ENSG00000061273	6414	54.88
18085	ENSG00000061337	5706	50.43
17490	ENSG00000061656	1453	59.4
11927	ENSG00000061676	20347	35.82
8283	ENSG00000061794	1888	38.64
4351	ENSG00000061918	3124	36.52
2472	ENSG00000061936	5593	46.45
3482	ENSG00000061938	5940	58.27
7238	ENSG00000061987	13275	36.21
1229	ENSG00000062194	4683	40.02
8402	ENSG00000062282	5926	52.02
4918	ENSG00000062370	3654	38.31
6382	ENSG00000062485	3057	46.16
5270	ENSG00000062524	3444	57.9
13715	ENSG00000062582	1727	50.93
8709	ENSG00000062598	4121	44.15
17383	ENSG00000062650	6333	39.87
1207	ENSG00000062716	4325	39.75
10400	ENSG00000062725	6478	39.69
15183	ENSG00000062822	3517	55.06
12815	ENSG00000063015	4471	54.21
9002	ENSG00000063046	4148	42.8
17153	ENSG00000063127	2983	43.07
896	ENSG00000063169	5739	51.9
14244	ENSG00000063176	3085	56.78
14277	ENSG00000063177	3844	56.83
11425	ENSG00000063180	1844	53.83
16045	ENSG00000063241	2283	56.69
12101	ENSG00000063244	3022	56.03
9787	ENSG00000063245	16219	54.85
