Genes	ID	Th1_1_K	Th1_2_K	Th2_1_K	Th2_2_K	Th1_1_S	Th1_2_S	Th1_3_S	Th2_1_S	Th2_2_S	Th2_3_S	Th17_1_S	Th17_2_S	Th17_3_S	Th0_3_R	Th0_4_R	Th0_5_R	Th0_8_R	Th0_9_R	Th0_10_R	Th0_13_R	Th0_14_R	Th0_15_R	iTreg3_R	iTreg4_R	iTreg5_R	iTreg8_R	iTreg9_R	iTreg10_R	iTreg13_R	iTreg14_R	iTreg15_R
14272	ENSG00000183691	NOG	0	0	0	0	0	0	0	0	0	0	2	3	1	3	7	5	3	6	5	6	5	57	1	2	1	5	3	3	5	6	3
14916	ENSG00000187045	TMPRSS6	2	2	0	0	1	1	0	1	1	0	2	1	2	0	0	0	0	0	0	0	0	0	6	10	5	3	5	3	7	7	8
15333	ENSG00000189283	FHIT	0	0	0	0	0	1	0	0	1	0	1	1	0	4	6	5	4	5	8	3	5	18	1	2	1	1	3	2	1	1	1
15907	ENSG00000198133	TMEM229B	0	0	1	1	1	2	1	2	2	1	0	1	0	4	4	3	7	6	5	2	2	5	1	0	1	1	0	0	0	0	0
16785	ENSG00000205730	ITPRIPL2	2	2	29	29	3	3	4	5	4	10	1	1	2	1	0	0	0	0	0	0	0	0	4	2	2	3	1	1	3	1	2
17190	ENSG00000211766	TRBJ2-2P	NA	NA	NA	NA	0	1	0	0	0	0	0	1	0	32	32	12	25	21	92	35	50	54	12	26	22	13	18	24	15	22	8
17297	ENSG00000211896	IGHG1	NA	NA	NA	NA	5	7	5	10	9	8	40	174	39	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
17754	ENSG00000215086	NPM1P24	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	4	3	8	5	5	9	6	7	3	3	1	2	4	1	2	0	1	2
18057	ENSG00000221869	CEBPD	0	0	0	0	8	6	5	1	0	0	9	3	6	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0
18522	ENSG00000225630	MTND2P28	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	1470	1470	2902	1470	1470	1470	1470	1470	1470	2902	1356	4280	1470	1470	4280	1470	1026	1026
18552	ENSG00000225783	MIAT	174	29	2	1	16	155	19	6	20	9	399	1348	399	0	1	1	0	0	0	0	1	0	1	2	1	1	1	2	1	1	3
18595	ENSG00000225972	MTND1P23	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	946	1348	1348	810	1348	1348	1348	1348	946	1348	946	1348	1348	1348	1348	436	436	483
18599	ENSG00000225986	UBXN10-AS1	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	16	17	25	12	16	17	6	9	8	7	8	3	7	6	3	4	3	0
19054	ENSG00000228601	AL121914.1	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	5	7	15	5	6	16	12	21	29	1	6	5	3	5	9	7	5	4
19183	ENSG00000229344	MTCO2P12	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	2447	4280	4280	2447	4280	4280	4280	4280	4280	2447	4280	4280	2447	4280	2447	2447	2447	2447
19963	ENSG00000233850	AC103563.7	NA	NA	NA	NA	0	0	0	1	1	1	0	0	0	4	7	5	4	5	4	6	7	12	1	4	2	4	3	2	3	4	0
20204	ENSG00000235174	AC019205.3	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	370	548	714	405	714	841	311	268	548	444	714	370	370	444	496	370	370	338
20281	ENSG00000235576	LINC01871	NA	NA	NA	NA	3	8	3	8	5	4	0	0	0	170	170	159	57	97	90	159	164	5	5	5	6	3	3	1	2	2	4
20437	ENSG00000236439	AC099336.2	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	13	18	28	15	12	25	7	9	39	8	10	5	10	11	15	9	10	15
20928	ENSG00000240409	MTATP8P1	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	615	951	1026	311	368	627	952	496	310	952	951	841	544	496	841	405	443	339
21591	ENSG00000247627	MTND4P12	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	395	692	692	363	483	608	946	810	332	608	1348	946	608	946	946	946	810	1348
21676	ENSG00000248527	MTATP6P1	NA	NA	NA	NA	0	0	0	1	1	0	0	0	0	4280	2447	2447	4280	2447	2447	2447	2447	2447	4280	2447	2447	4280	2447	4280	4280	4280	4280
21751	ENSG00000249119	MTND6P4	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	19	38	35	14	25	21	36	29	39	47	76	53	42	79	78	56	48	55
21833	ENSG00000249806	AC139720.1	NA	NA	NA	NA	0	0	0	0	0	0	1	0	0	11	15	11	8	12	14	5	7	11	11	8	10	7	6	8	5	4	2
21907	ENSG00000250274	AC034199.1	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	11	6	7	6	3	2	5	4	2
22439	ENSG00000254521	SIGLEC12	0	0	6	2	0	0	0	3	1	2	0	0	0	3	3	0	2	0	0	1	0	0	5	5	3	3	1	0	6	6	4
23010	ENSG00000258512	LINC00239	NA	NA	NA	NA	1	0	0	0	0	0	3	4	3	7	7	7	4	6	6	6	5	5	8	5	6	4	6	10	3	5	2
23948	ENSG00000262902	MTCO1P40	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	52	54	53	32	53	65	109	123	62	66	91	93	65	103	101	95	103	112
24384	ENSG00000266088	AC004585.1	NA	NA	NA	NA	4	8	5	1	2	1	5	8	5	12	31	40	5	17	20	19	32	4	3	5	1	3	1	0	3	2	2
